framework,workload,variant,n,median_time,mean_time,std_time,q1_time,q3_time,median_rss_kb,mean_rss_kb,iqr_time
hadoop,A,data,5,18.98,18.746000000000002,0.5087042362709397,18.28,19.06,27008.0,27110.4,0.7799999999999976
hadoop,A,large,5,19.54,19.976,1.1422915564775924,19.26,19.86,27008.0,27110.4,0.5999999999999979
hadoop,A,small,5,20.31,19.848000000000003,1.044997607652762,18.85,20.67,26880.0,26854.4,1.8200000000000003
hadoop,B,data,5,18.18,18.330000000000002,0.33436506994600995,18.16,18.27,27008.0,26982.4,0.10999999999999943
hadoop,B,large,5,20.69,20.253999999999998,0.7795062539838914,19.65,20.7,27008.0,27008.0,1.0500000000000007
hadoop,B,small,5,18.64,19.06,0.8484397444721719,18.63,19.42,27008.0,26982.4,0.7900000000000027
hadoop,C,data,5,21.38,21.384,1.6820315098118708,20.5,21.77,26752.0,26777.6,1.2699999999999996
hadoop,C,large,5,24.28,24.37,0.7588807547961671,23.8,24.62,27008.0,26931.2,0.8200000000000003
hadoop,C,small,5,20.03,20.806,2.632172106834961,19.38,21.53,26752.0,26700.8,2.150000000000002
mongo,A,data,5,0.44,0.492,0.12194260945215168,0.44,0.44,27008.0,26982.4,0.0
mongo,A,large,5,0.45,1.006,1.2488514723536983,0.45,0.45,26752.0,26880.0,0.0
mongo,A,small,5,0.61,0.982,0.9000944394895459,0.54,0.64,26880.0,26880.0,0.09999999999999998
mongo,B,data,5,0.46,0.944,1.0332134339041474,0.46,0.57,26752.0,26752.0,0.10999999999999993
mongo,B,large,5,0.55,0.868,0.774996774186835,0.47,0.61,26624.0,26700.8,0.14
mongo,B,small,5,0.46,0.7819999999999999,0.7204651275391473,0.45,0.5,27136.0,26905.6,0.04999999999999999
mongo,C,data,5,0.88,1.4120000000000001,1.3427844205232649,0.74,0.9,27008.0,26931.2,0.16000000000000003
mongo,C,large,5,0.78,1.23,0.8954328562209453,0.77,1.02,26752.0,26752.0,0.25
mongo,C,small,5,0.73,0.8779999999999999,0.33101359488697746,0.73,0.74,26880.0,26854.4,0.010000000000000009
spark,A,data,5,6.79,7.132,0.5903558249056243,6.75,7.32,26752.0,26752.0,0.5700000000000003
spark,A,large,5,7.25,8.03,1.6160290838966977,7.24,7.55,26880.0,26828.8,0.3099999999999996
spark,A,small,5,8.21,8.762,1.7309448286990552,7.86,8.68,26752.0,26828.8,0.8199999999999994
spark,B,data,5,7.52,8.053999999999998,1.4774065114246662,7.38,7.63,27136.0,26982.4,0.25
spark,B,large,5,7.88,8.952,2.2769321465515837,7.83,8.27,27136.0,27059.2,0.4399999999999995
spark,B,small,5,6.9,7.188,0.5919206027838532,6.89,7.04,27008.0,26956.8,0.15000000000000036
spark,C,data,5,8.42,9.146,2.593112029974794,7.54,8.63,27008.0,26982.4,1.0900000000000007
spark,C,large,5,8.4,8.940000000000001,1.7719057537013643,7.84,9.15,27136.0,27033.6,1.3100000000000005
spark,C,small,5,7.74,7.6240000000000006,0.24795160818191905,7.4,7.78,27008.0,26982.4,0.3799999999999999
