framework,workload,n,median,iqr,mean,std,median_rss_kb
hadoop,A,9,19.89,0.6799999999999997,19.83,0.43162483709814464,27264.0
hadoop,B,9,20.05,0.6499999999999986,20.13222222222222,0.9013292652768158,27264.0
hadoop,C,9,22.67,0.5200000000000031,23.38111111111111,2.1697894163054423,27392.0
mongo,A,9,0.45,0.10000000000000003,0.5788888888888889,0.3395380849199558,27392.0
mongo,B,9,0.44,0.030000000000000027,0.44555555555555554,0.02127857555800616,27392.0
mongo,C,9,0.72,0.06999999999999995,0.7522222222222221,0.14813657362192645,27136.0
spark,A,9,7.35,0.21999999999999975,7.691111111111111,0.7127489818380038,27392.0
spark,B,9,7.51,0.5599999999999996,7.54,0.5234978509984546,27264.0
spark,C,9,7.62,0.3600000000000003,7.601111111111111,0.2852386914692871,27392.0
